Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-20 00:00:00+00:00,7780113.0,7780113.0,7780113.0,7780113.0,0,0.0,0.0
2024-02-20 00:01:00+00:00,7780712.0,7780712.0,7780712.0,7780712.0,247201792,0.0,0.0
2024-02-20 00:02:00+00:00,7778306.0,7778306.0,7777378.0,7777378.0,0,0.0,0.0
2024-02-20 00:03:00+00:00,7780024.5,7780024.5,7780024.5,7780024.5,0,0.0,0.0
2024-02-20 00:04:00+00:00,7781959.5,7781959.5,7781959.5,7781959.5,383778816,0.0,0.0
2024-02-20 00:05:00+00:00,7783224.5,7783224.5,7783224.5,7783224.5,0,0.0,0.0
2024-02-20 00:06:00+00:00,7779689.5,7779689.5,7779689.5,7779689.5,971767808,0.0,0.0
2024-02-20 00:07:00+00:00,7778089.5,7778089.5,7778089.5,7778089.5,0,0.0,0.0
2024-02-20 00:08:00+00:00,7778403.5,7778403.5,7778403.5,7778403.5,2495348736,0.0,0.0
2024-02-20 00:09:00+00:00,7781420.0,7781420.0,7781420.0,7781420.0,0,0.0,0.0
2024-02-20 00:10:00+00:00,7780375.5,7780375.5,7780375.5,7780375.5,0,0.0,0.0
2024-02-20 00:11:00+00:00,7783484.5,7783484.5,7783484.5,7783484.5,0,0.0,0.0
2024-02-20 00:12:00+00:00,7783794.0,7783794.0,7783794.0,7783794.0,272105472,0.0,0.0
2024-02-20 00:13:00+00:00,7783800.0,7783800.0,7783800.0,7783800.0,0,0.0,0.0
2024-02-20 00:14:00+00:00,7783228.5,7783228.5,7783228.5,7783228.5,0,0.0,0.0
2024-02-20 00:15:00+00:00,7783024.5,7783024.5,7783024.5,7783024.5,294125568,0.0,0.0
2024-02-20 00:16:00+00:00,7776935.5,7776935.5,7776935.5,7776935.5,0,0.0,0.0
2024-02-20 00:17:00+00:00,7778709.5,7780851.5,7778709.5,7780851.5,0,0.0,0.0
2024-02-20 00:20:00+00:00,7782298.0,7782597.0,7782298.0,7782597.0,534511616,0.0,0.0
2024-02-20 00:21:00+00:00,7783695.5,7783695.5,7782540.5,7782540.5,623640576,0.0,0.0
2024-02-20 00:22:00+00:00,7780764.5,7780764.5,7780764.5,7780764.5,0,0.0,0.0
2024-02-20 00:23:00+00:00,7779589.5,7779589.5,7779589.5,7779589.5,0,0.0,0.0
2024-02-20 00:24:00+00:00,7778734.5,7778734.5,7778734.5,7778734.5,0,0.0,0.0
2024-02-20 00:25:00+00:00,7775135.5,7775135.5,7775135.5,7775135.5,0,0.0,0.0
