Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-17 00:00:00+00:00,49912.671875,50192.9375,48992.77734375,49639.03515625,2285505072,0.0,0.0
2014-09-18 00:00:00+00:00,49587.58203125,49564.73828125,44929.19140625,46179.07421875,3751772160,0.0,0.0
2014-09-19 00:00:00+00:00,46142.40625,46711.0234375,41829.390625,43036.7109375,4133626497,0.0,0.0
2014-09-20 00:00:00+00:00,43023.3046875,46143.49609375,42501.14453125,44574.625,4018501036,0.0,0.0
2014-09-21 00:00:00+00:00,44485.34375,44958.55859375,42860.66015625,43451.55078125,2895901895,0.0,0.0
2014-09-22 00:00:00+00:00,43481.9453125,44313.15234375,43291.140625,43721.96484375,2623152672,0.0,0.0
2014-09-23 00:00:00+00:00,43715.4453125,48067.89453125,42920.01953125,47300.75390625,4895099730,0.0,0.0
2014-09-24 00:00:00+00:00,47296.4140625,47374.84765625,45713.87890625,46264.76953125,3348220164,0.0,0.0
2014-09-25 00:00:00+00:00,46259.4140625,46256.8515625,44529.64453125,44688.70703125,2911507552,0.0,0.0
2014-09-26 00:00:00+00:00,44672.9609375,45066.4140625,43640.98046875,44191.51953125,2345021616,0.0,0.0
2014-09-27 00:00:00+00:00,44096.5625,44431.6953125,43420.83984375,43655.55078125,1642251611,0.0,0.0
2014-09-28 00:00:00+00:00,43650.1953125,43819.12890625,40925.71875,41263.6015625,2583295020,0.0,0.0
2014-09-29 00:00:00+00:00,41235.92578125,42103.5625,40775.16796875,41076.08984375,3555248380,0.0,0.0
2014-09-30 00:00:00+00:00,41144.02734375,42870.625,40835.9921875,42424.5390625,3805308372,0.0,0.0
2014-10-01 00:00:00+00:00,42477.49609375,43000.80859375,41604.0234375,41814.03515625,2859004600,0.0,0.0
2014-10-02 00:00:00+00:00,41854.69140625,41922.80078125,40412.4296875,40695.3125,2362880450,0.0,0.0
2014-10-03 00:00:00+00:00,40707.13671875,41149.87109375,39275.02734375,39456.44140625,3391406700,0.0,0.0
2014-10-04 00:00:00+00:00,39498.1484375,40002.44921875,35765.98828125,36093.04296875,5184205875,0.0,0.0
2014-10-05 00:00:00+00:00,36098.53125,37512.66015625,31750.234375,35188.79296875,9146395860,0.0,0.0
2014-10-06 00:00:00+00:00,35175.5078125,37678.27734375,33151.5,35932.40234375,8601224548,0.0,0.0
